slug,question,outcomes,volume,startDate,endDate,clobTokenIds
will-lito-coen-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will Lito Coen last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",2066.146871,2024-02-03T01:36:00Z,2024-05-30T00:00:00Z,"[""76139031285384756460286484166927851492114107261036080748348784799755744224181"", ""85455144172966559779867568436451899604712681391289980813705250718987903526449""]"
will-3lau-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will 3lau last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",2829.526871,2024-02-03T01:37:00Z,2024-05-30T00:00:00Z,"[""114221878971303474782147967186297899089495186990928466904216693542073842187926"", ""112882607037186037068126430565683176400600630518210896598762059294628497839871""]"
will-jesse-pollak-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will Jesse Pollak last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",4533.763774999999,2024-02-03T01:37:00Z,2024-05-30T00:00:00Z,"[""39845927391358153711554939590589352094729236865075044422644750923433196476261"", ""17820391980426975911985733268829455790478904385969047221488902679517974871798""]"
will-funghibull-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will funghibull last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",1998.969742,2024-02-03T01:37:00Z,2024-05-30T00:00:00Z,"[""59680612097895861120809274511918431260294265966756652217278752660010714030352"", ""63880862191987662206176349872509250717274912328692873459875378885682504957824""]"
will-packym-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will packym last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",1298.31806,2024-02-03T01:37:00Z,2024-05-30T00:00:00Z,"[""97402846293694903204757048906553455087050046798891512921405285507966576346726"", ""59741643152451180555344749416444554812377504841992533215258380871799031567162""]"
will-web3brett-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will web3brett last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",2722.0,2024-02-03T01:37:00Z,2024-05-30T00:00:00Z,"[""77200762384976825094725765079252152626123142351199818300215854681821002808315"", ""113857912833348360682965401622437419885520521090133452774801109558102596818392""]"
will-anish-agnihotri-win-crypto-the-game,Will Anish Agnihotri win Crypto: The Game?,"[""Yes"", ""No""]",3822.0,2024-02-05T00:49:56.709Z,2024-05-31T00:00:00Z,"[""30249659674533906792464199707778244139013029257811059832351926129037118913426"", ""55374054182503594596733194589503369719520132515746996531812931451935840705909""]"
will-jesse-pollak-win-crypto-the-game,Will Jesse Pollak win Crypto: The Game?,"[""Yes"", ""No""]",1105.0,2024-02-05T00:50:04.011Z,2024-05-31T00:00:00Z,"[""81222108588330979733732503831079759254613866228580653131887993180031600848134"", ""41461457212919591946953309296221577507195794325975987115874958030531579754413""]"
will-goldy-win-crypto-the-game,Will Goldy win Crypto: The Game?,"[""Yes"", ""No""]",1465.555554,2024-02-05T00:50:11.244Z,2024-05-31T00:00:00Z,"[""102089086201744139378913664731809899117861022081467834225266714681708717026550"", ""13093115227583032811674952931869734609837282617525348334981644455255673762083""]"
will-gabriel-haines-win-crypto-the-game,Will Gabriel Haines win Crypto: The Game?,"[""Yes"", ""No""]",1660.0,2024-02-05T00:50:18.912Z,2024-05-31T00:00:00Z,"[""72704596966907283427746958633393375687784178586327752829369125226306853133609"", ""110654181725785905105632945417008235582882999113185479939580511367670704430386""]"
will-beramvp-win-crypto-the-game,Will BeraMVP win Crypto: The Game?,"[""Yes"", ""No""]",2944.0,2024-02-05T00:50:25.928Z,2024-05-31T00:00:00Z,"[""74083982836025563342932177425536944342821231129447109238230505383482574331805"", ""12192463720333703694366433085328142789917527247971438820230778988148256097120""]"
will-packy-mccormick-win-crypto-the-game,Will Packy McCormick win Crypto: The Game?,"[""Yes"", ""No""]",4005.5,2024-02-05T00:50:34.058Z,2024-05-31T00:00:00Z,"[""55366297029359253709793040885293665115331116179646241304470285302848592135623"", ""98162100437244294199505764731832714881584236894165408550377007456531768469573""]"
will-litoeth-win-crypto-the-game,Will lito.eth win Crypto: The Game?,"[""Yes"", ""No""]",2722.0,2024-02-05T00:50:41.236Z,2024-05-31T00:00:00Z,"[""27123231190615105001655745478420239725503249786444162367492472691582979971214"", ""94370229550841800610052428080581134277187538224623457912363925504009121054508""]"
will-deeze-win-crypto-the-game,Will DeeZe win Crypto: The Game?,"[""Yes"", ""No""]",2360.0,2024-02-05T00:50:45.798Z,2024-05-31T00:00:00Z,"[""91740222613541897974702483383112740181592165134193962075059161333904550771055"", ""19193617301096518105520869566537795453477595145613663185973890948172473635949""]"
wormhole-airdrop-in-may,Wormhole airdrop in May?,"[""Yes"", ""No""]",2162.0,2024-02-07T21:19:00Z,2024-05-30T00:00:00Z,"[""42601074618613095018515281833557438569115512993006318037795879574227735586777"", ""17109605056931821014649910854486341510824704290481189637762456462143430253170""]"
wormhole-airdrop-in-june,Wormhole airdrop in June?,"[""Yes"", ""No""]",3422.161342,2024-02-07T21:19:00Z,2024-06-29T00:00:00Z,"[""54176260444133655449231432346256982583448892079902296896903177191113810601376"", ""39633555088491341725279632144240325707298916549717820324246123605717679028710""]"
no-wormhole-airdrop-before-july,No Wormhole airdrop before July?,"[""Yes"", ""No""]",2861.0,2024-02-07T21:19:00Z,2024-06-29T00:00:00Z,"[""100122248734646686508374800287904470281830186285786067774211625522557814982468"", ""24838015494763891613660389994049995398512594341251148064469167197683559576984""]"
eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?,"[""Yes"", ""No""]",377945.443909,2024-02-13T17:54:15.755Z,2024-06-30T12:00:00Z,"[""75957025697776776617548851647997522865644087243339706600743559073578932785984"", ""86181471984321905710821458247163308151190381112998699372228465527340224816697""]"
